-0.51334,-399.62
-0.50526,-393.5
-0.49718,-387.38
-0.48909,-381.26
-0.48101,-375.14
-0.47292,-369.02
-0.46484,-362.9
-0.45676,-356.78
-0.44867,-350.66
-0.44059,-344.54
-0.4325,-338.42
-0.42442,-332.3
-0.41633,-326.18
-0.40825,-320.06
-0.40017,-313.94
-0.39208,-307.82
-0.384,-301.7
-0.37591,-295.58
-0.36783,-289.46
-0.35975,-283.34
-0.35166,-277.22
-0.34358,-271.1
-0.33549,-264.98
-0.32741,-258.86
-0.31932,-252.74
-0.31124,-246.62
-0.30316,-240.5
-0.29507,-234.38
-0.28699,-228.26
-0.2789,-222.14
-0.27082,-216.02
-0.26274,-209.9
-0.25465,-203.78
-0.24657,-197.66
-0.23848,-191.54
-0.2304,-185.42
-0.22231,-179.3
-0.21423,-173.18
-0.20615,-167.06
-0.19806,-160.94
-0.18998,-154.82
-0.18189,-148.7
-0.17381,-142.58
-0.16573,-136.46
-0.15764,-130.35
-0.14956,-124.23
-0.14147,-118.11
-0.13339,-111.99
-0.1253,-105.87
-0.11722,-99.746
-0.10914,-93.626
-0.10105,-87.506
-0.092968,-81.386
-0.084884,-75.266
-0.0768,-69.147
-0.068715,-63.027
-0.060631,-56.907
-0.052547,-50.787
-0.044463,-44.667
-0.036379,-38.547
-0.028295,-32.427
-0.02021,-26.308
-0.012126,-20.188
-0.0040421,-14.068
0.0040421,-7.9479
0.012126,-1.8281
0.02021,4.2918
0.028295,10.412
0.036379,16.531
0.044463,22.651
0.052547,28.771
0.060631,34.891
0.068715,41.011
0.0768,47.131
0.084884,53.251
0.092968,59.37
0.10105,65.49
0.10914,71.61
0.11722,77.73
0.1253,83.85
0.13339,89.97
0.14147,96.09
0.14956,102.21
0.15764,108.33
0.16573,114.45
0.17381,120.57
0.18189,126.69
0.18998,132.81
0.19806,138.93
0.20615,145.05
0.21423,151.17
0.22231,157.29
0.2304,163.41
0.23848,169.53
0.24657,175.65
0.25465,181.77
0.26274,187.89
0.27082,194.01
0.2789,200.13
0.28699,206.25
0.29507,212.37
0.30316,218.49
0.31124,224.61
0.31932,230.73
0.32741,236.85
0.33549,242.97
0.34358,249.09
0.35166,255.21
0.35975,261.33
0.36783,267.45
0.37591,273.57
0.384,279.69
0.39208,285.81
0.40017,291.93
0.40825,298.04
0.41633,304.16
0.42442,310.28
0.4325,316.4
0.44059,322.52
0.44867,328.64
0.45676,334.76
0.46484,340.88
0.47292,347
0.48101,353.12
0.48909,359.24
0.49718,365.36
0.50526,371.48
0.51334,377.6
